FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index,positive,significant,best R2,best year,best coeff,After 2005
gt80, 5/7, 0/7, 0.01, 85-90, 0.118, , ,0.0478
gt81, 3/7, 1/7, 0.007, 05-10, 0.0219*, , ,0.0219
gt82, 4/7, 0/7, 0.005, 05-10, 0.0263, , ,0.0263
gt83, 6/7, 1/7, 0.01, 05-10, 0.0311**, , ,0.0311
gt84, 5/7, 2/7, 0.02, 85-90, 0.055**, , ,0.0252
gt85, 6/7, 3/7, 0.018, 85-90, 0.0506*, , ,0.028
gt86, 6/7, 1/7, 0.028, 85-90, 0.072**, , ,0.0231
ft75, 4/7, 1/7, 0.005, 75-80, 0.0102, , ,0.000916
sb00, 5/7, 1/7, 0.012, 90-95, 0.063**, , ,0.0311
sb01, 6/7, 2/7, 0.011, 90-95, 0.062**, , ,0.046
sb02, 5/7, 2/7, 0.011, 90-95, 0.0526*, , ,0.041
sb03, 6/7, 2/7, 0.013, 05-10, 0.046**, , ,0.046
sb04, 6/7, 1/7, 0.012, 05-10, 0.049**, , ,0.049
ne99, 5/7, 0/7, 0.003, 00-05, 0.0266, , ,0.0129
ne02, 6/7, 1/7, 0.012, 95-00, 0.069**, , ,0.00835
bh01, 6/7, 1/7, 0.008, 80-85, 0.0739*, , ,0.00636
bh02, 3/7, 0/7, 0.004, 80-85, 0.0553, , ,-0.0135
bh03, 6/7, 1/7, 0.008, 80-85, 0.0817*, , ,0.0322
bh04, 6/7, 1/7, 0.026, 80-85, 0.13**, , ,0.00655
frng04, 2/7, 0/7, 0.007, 85-90, 0.0664, , ,-0.0307
frsg04, 4/7, 0/7, 0.005, 75-80, 0.0582, , ,-0.0243
pri99, 4/7, 1/7, 0.007, 75-80, 0.0956, , ,0.0218
pri04, 4/7, 1/7, 0.014, 75-80, 0.095, , ,0.00156
cedp87, 2/7, 0/7, 0.001, 95-00, 0.0055, , ,-0.0124
cedp88, 2/7, 0/7, 0.002, 75-80, 0.00939, , ,-0.0102
cedp89, 2/7, 0/7, 0.006, 95-00, 0.011, , ,-0.00405
cedp90, 2/7, 0/7, 0.001, 75-80, 0.0068, , ,-0.00657
cedp91, 3/7, 0/7, 0.006, 95-00, 0.00986, , ,-0.0099
cedc87, 4/7, 2/7, 0.017, 95-00, 0.02**, , ,-0.00116
cedc88, 4/7, 1/7, 0.011, 95-00, 0.012**, , ,-0.00258
cedc89, 4/7, 2/7, 0.01, 95-00, 0.0122*, , ,-0.00399
cedc90, 5/7, 2/7, 0.008, 95-00, 0.0114*, , ,0.00230
cedc91, 5/7, 0/7, 0.007, 95-00, 0.0105, , ,0.000898
cedc92, 4/7, 1/7, 0.009, 00-05, 0.011**, , ,-0.00103
cedc93, 4/7, 1/7, 0.006, 00-05, 0.01*, , ,-0.000852
cedc94, 4/7, 2/7, 0.01, 95-00, 0.012**, , ,-0.00242
cedc95, 4/7, 2/7, 0.01, 95-00, 0.011**, , ,-0.00207
cedc96, 4/7, 2/7, 0.009, 00-05, 0.012**, , ,-0.00239
cedpi88, 3/7, 0/7, 0.006, 80-85, 0.07, , ,-0.078
cedpi89, 4/7, 0/7, 0.003, 80-85, 0.0226, , ,-0.0249
cedpi90, 4/7, 0/7, 0.002, 85-90, 0.0187, , ,-0.028
cedpi91, 4/7, 0/7, 0.002, 80-85, 0.019, , ,-0.0232
cedpi92, 3/7, 0/7, 0.001, 80-85, 0.0177, , ,-0.0134
cedpi93, 4/7, 0/7, 0.006, 85-90, 0.0526, , ,-0.059
cedpi94, 4/7, 0/7, 0.004, 75-80, 0.0379, , ,-0.047
cedpi95, 4/7, 0/7, 0.004, 75-80, 0.0392, , ,-0.041
cedpi96, 4/7, 0/7, 0.004, 75-80, 0.0371, , ,-0.045
tf03, 4/7, 0/7, 0.007, 05-10, 0.045, , ,0.0450
tf04, 4/7, 2/7, 0.007, 90-95, 0.0584*, , ,0.0491
